figure,panel,metric,method,value,std
2,a,Exact Match,Recent-text,0.034,0.000
2,a,Exact Match,Rolling summary,0.012,0.000
2,a,Exact Match,BM25 top-2,0.030,0.000
2,a,Exact Match,Matched-16,0.068,0.000
2,a,Exact Match,Ours,0.188,0.047
2,b,Recall,Recent-text,0.096,0.000
2,b,Recall,Rolling summary,0.078,0.000
2,b,Recall,BM25 top-2,0.226,0.000
2,b,Recall,Matched-16,0.180,0.000
2,b,Recall,Ours,0.231,0.042
2,c,Format failures,Recent-text,211.0,0.0
2,c,Format failures,Rolling summary,267.0,0.0
2,c,Format failures,BM25 top-2,265.0,0.0
2,c,Format failures,Matched-16,347.0,0.0
2,c,Format failures,Ours,118.6,19.1
3,a,Seconds per question,Recent-text,5.378,
3,a,Seconds per question,Rolling summary,1.197,
3,a,Seconds per question,BM25 top-2,1.292,
3,a,Seconds per question,Matched-16,0.996,
3,a,Seconds per question,Ours,0.754,
3,a,Exact Match,Recent-text,0.034,
3,a,Exact Match,Rolling summary,0.012,
3,a,Exact Match,BM25 top-2,0.030,
3,a,Exact Match,Matched-16,0.068,
3,a,Exact Match,Ours,0.188,
3,b,Peak incremental GPU memory (GiB),Recent-text,13.094,
3,b,Peak incremental GPU memory (GiB),Rolling summary,1.782,
3,b,Peak incremental GPU memory (GiB),BM25 top-2,3.505,
3,b,Peak incremental GPU memory (GiB),Matched-16,0.159,
3,b,Peak incremental GPU memory (GiB),Ours,0.160,
